id,lat,lng
markthalrotterdam,51.919948,4.486843
testacciomarket,41.877657,12.473909
naschmarktvienna,48.199044,16.364234
mercadodesanmiguel,40.415261,-3.708944
mercadodelaboqueria,41.381635,2.171596
courssaleya,43.69553,7.275492
marchedaligre,48.849021,2.3777
mercatocentraledisanlorenzo,43.77654,11.253133
torvehallerne,55.684025,12.569469
boroughmarket,51.505046,-0.090679
victualsmarket,48.135105,11.576246
hallesdesete,43.40214,3.69545
marcheduzes,44.011821,4.418889
marchedapt,43.876503,5.393588
marchedelaflotte,46.187465,-1.327086
edimburghfarmersmarket,55.947817,-3.203562
stgeorgesmarket,54.596073,-5.921654
hallesdewazemmes,50.62671,3.049325
