country;name;p_lat;p_long;p_enabled;addressline1;town;p_postalcode;IsoCode
"AU";"Hairhouse Warehouse - Ipswich";"-27.6140934";"152.7584716";"1";"Shop 28 Riverlink Shopping centre";"Ipswich";"4305";"AU"
"AU";"Room For Hair";"0";"0";"0";"20 Jull Street";"ARMADALE";"6112";"AU"
"AU";"D'luxe Hair & Beauty";"0";"0";"0";"Shop 4 Lot 6 Burra PlaceShellharbour City Plaza";"Shellharbour";"2529";"AU"
"AU";"Complete Hair & Passion";"-33.893726";"150.936162";"1";"Shop 10";"Cabramatta";"2166";"AU"
"AU";"Kink The Art Of Hair - Orange - Closed";"0";"0";"0";"167 Summer Street";"Orange";"2800";"AU"
"AU";"Bernadette Missen NLU - Closed";"0";"0";"0";"2B Raymond Street";"APPLECROSS";"6153";"AU"
"AU";"Hairess - Closed";"0";"0";"0";"Murdoch University";"MURDOCH";"6150";"AU"
"AU";"Rubi Hair Richmond - Closed";"0";"0";"0";"234 Swan St";"Richmond";"3121";"AU"
"AU";"Hon Hair Studio";"0";"0";"0";"Shop 21/101-103 John street";"Cabramatta";"2166";"AU"
"AU";"Kepnock Hair";"-24.878901";"152.352352";"1";"Shop 7";"Bundaberg";"4670";"AU"
"AU";"Nova Hair & Body";"-35.0666802";"138.8576004";"1";"7 Walker Street";"MOUNT BARKER";"5251";"AU"
"AU";"One Hair & Beauty";"-32.1802715";"152.5103492";"1";"29 Wharf Street";"Forster";"2428";"AU"
"AU";"Hairhouse Warehouse - Rosny - Closed";"0";"0";"0";"Shop U002";"Rosny";"7018";"AU"
"AU";"Bliss Hair and Beauty";"0";"0";"0";"298 Bayliss Rd";"Heritage Park";"4118";"AU"
"AU";"Volona & Associates - Ocean Keys";"0";"0";"0";"Shop 46 Ocean Keys Shopping Centre";"CLARKSON";"6030";"AU"
"AU";"Glambox Hair Studio";"-20.2772689";"148.7009581";"1";"Shop 5 226 Shute Harbour Road";"Cannonvale";"4802";"AU"
"AU";"To Dye For Hair and Beauty";"0";"0";"0";"322 Brookfield Ave";"Broken Hill";"2880";"AU"
"AU";"EV Hair & Beauty - Marrickville";"-33.905925";"151.171585";"1";"Shop 82";"Marrickville";"2204";"AU"
"ZA";"Nicci Phillips Hairdressing cc";"-34.0433738";"22.9991974";"1";"23 Long Street";"Knysna";"6571";"ZA"
