osmid,name,amenity,Longitude,Latitude
247439149,Bar Hemingway,bar,2.3275703,48.8688161
247455913,Juvénile's,bar,2.3370822,48.8663165
247467737,Willi's Wine Bar,bar,2.3382902,48.8663449
251010491,Footsie,bar,2.3317879,48.8695611
251023849,Harry's Bar,bar,2.3321035,48.8691942
251699774,10 Bar International,bar,2.3385693,48.8510774
251758249,Buddha Bar,bar,2.3215688,48.8680799
251758263,I Golosi,wine_bar,2.3415929,48.873249
252604389,Chez Justine,bar,2.3778893,48.8656637
252625380,Les marcheurs de planète,wine_bar,2.3773631,48.8567799
264788761,Le Moderne,bar,2.2691302,48.9154646
274247409,Kaskad' Café,bar,2.3828693,48.8826925
274248904,Lou Pascalou,bar,2.3855356,48.8662404
282468472,La Cordonnerie,bar,2.3505855,48.8652332
294038638,Le Navigateur,bar,2.3739646,48.8779867
294266518,25° Est,bar,2.3707556,48.8838984
305903409,Les Caves Populaires,bar,2.3245933,48.884761
308204330,Le Gambetta,bar,2.4030888,48.8595367
418055930,Le little,bar,2.3660388,48.8667141
428061630,Le virginie,bar,2.3851348,48.849738
428164786,Patrick's Le Ballon Vert,bar,2.389517,48.8492104
429660096,La Halte des Taxis,bar,2.3615547,48.8330139
442505759,La Caravane,bar,2.3714311,48.8683391
442547954,La favela Chic,bar,2.3660938,48.8683233
444644415,Bar de l'Hôtel de Ville,bar,2.9564809,48.3848976
446819198,Le Delyss,bar,2.3578049,48.8783181
474696199,L'instant,bar,2.0415248,48.9286742
493163514,Les pères populaires,bar,2.4018663,48.8510126
493761019,Le Jean Bart,bar,2.401582,48.8517859
494663867,Losserand Café,bar,2.3181857,48.8338366
498836529,Le Raymus' Bar,bar,2.1571674,48.9004918
498913739,Blue Note,bar,2.3464815,48.8867306
501609006,Le Maupassant,bar,2.1558602,48.901685
519049977,Le bistrot de Julie,bar,2.4005135,48.8345868
519049990,Au diplomate,bar,2.4007736,48.834455
530272890,Chez Habibi,bar,2.375025,48.8493959
530272911,Flute Gana,bar,2.3723704,48.8464256
534660992,Botak,bar,2.344949,48.8864916
539533571,Les Arcades,bar,2.1004801,49.0482176
540158434,Bijou Bar,bar,2.0925853,49.0490402
540176743,Bar Moderne,bar,2.092414,49.0497553
540914260,Le Fontenoy,bar,2.0998346,49.0497595
540923631,Le Celtique,bar,2.1019647,49.0490367
544898825,Le Flash,bar,2.0978795,49.0511253
546568935,Au Maryland,bar,2.0966183,49.0518324
553539696,Le Paul Bert,bar,2.481045,48.8399557
553539863,Le Chemin de Fer,bar,2.4931695,48.8384839
