NOM DU MUSEE,ADR,CP,VILLE,SITWEB,latitude,longitude
Musée de la Folie Marco,"30, Rue du Dr Sultzer",67140,BARR,http://www.barr.fr,48.410188,7.45112
Musée de la Poterie,"2, rue de Kuhlendorf",67660,BETSCHDORF,http://www.betschdorf.fr/tourisme/visiter_betschdrof/musee_poterie.php,48.900331,7.914441
Musée de Bouxwiller et du Pays de Hanau,"2, Place du Château

Halle aux Blés",67330,BOUXWILLER,http://www.musee-pays-hanau.webmuseo.com,48.824975,7.482776
Musée Alsacien,"1, place Joseph Thierry",67500,HAGUENAU,http://www.ville-haguenau.fr/pages/culture/musee.htm,48.814611,7.789527
Musée Historique,"9, Rue du Maréchal Foch

B.P. 40261",67504,HAGUENAU Cedex,http://www.ville-haguenau.fr/pages/culture/musee.htm ou www.museumspass.com/dn_musees-haguenau/,48.812831,7.791479
Musée de la Chartreuse,"4, Cour des Chartreux",67120,MOLSHEIM,http://www.chartreuse-molsheim.info,48.54278,7.49023
Maison de l'Archéologie des Vosges du Nord,"44, Avenue Foch",67110,NIEDERBRONN-LES-BAINS,http://www.musee-niederbronn.fr,48.947443,7.650429
Musée de l'Image Populaire de Pfaffenhoffen,"24, rue du Docteur Albert Schweitzer",67350,PFAFFENHOFFEN,http://www.pfaffenhoffen.org ou http://www.musee-image-populaire.webmuseo.com/,48.844809,7.611262
Musée du Fer,"9, rue Jeanne d'Arc",67110,REICHSHOFFEN,musee-reischshoffen.webmuseo.com ou www.lacastine.com,48.932379,7.665286
Musée du Château des Rohan,"Château des Rohans

Place du Général de Gaulle",67700,SAVERNE,http://www.louise weiss.org,48.741895,7.362216
Musée des Arts Décoratifs,"Palais Rohan

2, Place du Château",67000,STRASBOURG,http://www.musees-strasbourg.eu,48.581323,7.751359
Musée Tomi Ungerer,"Villa Greiner

2, avenue de la Marseillaise",67000,STRASBOURG,http://www.musees-strasbourg.eu,48.585556,7.755619
Musée des Beaux-Arts,"Palais Rohan

2, Place du Château",67000,STRASBOURG,http://www.musees.strasbourg.eu,48.581323,7.751359
Musée Historique,"2, Rue du Vieux Marché aux Poissons",67000,STRASBOURG,http://www.musees-strasbourg.eu,48.580496,7.74967
Musée Alsacien,"23-25, Quai Saint-Nicolas",67000,STRASBOURG,http://www.musees-strasbourg.eu,48.57862,7.748812
Musée Archéologique,"Palais Rohan

2, Place du Château",67000,STRASBOURG,http://www.musees.strasbourg.eu,48.581323,7.751359
Musée de l'Œuvre Notre-Dame,"3, Place du Château",67000,STRASBOURG,http://www.musees-strasbourg.eu,48.580997,7.751064
Cabinet des Estampes et des Dessins,"5, Place du Château",67000,STRASBOURG,http://www.musees-strasbourg.eu,48.581108,7.750893
Musée d'Art Moderne et Contemporain de Strasbourg,1 place Hans Jean Arp,67000,STRASBOURG,http://www.musees-strasbourg.eu,48.580058,7.736546
Musée Zoologique de l'Université Louis Pasteur et de la Ville de Strasbourg,"29, Boulevard de la Victoire",67000,STRASBOURG,http://www.musees.strasbourg.eu,48.582685,7.764696
Musée J.F. Oberlin,"25, Montée Oberlin",67130,WALDERSBACH,http://www.musee-oberlin.com,48.414761,7.214894
Musée Lalique,40 rue du Hochberg,67290,WINGEN-SUR-MODER,http://www.musee-lalique.com,48.927033,7.361922
Musée Westercamp,"3, rue du Musée",67160,WISSEMBOURG,http://www.musee-wissembourg.webmuseo.com ou www.ville-wissembourg.eu,49.038815,7.944344
Musée de la Bataille du 6 Août 1870,"2, Rue du Moulin",67360,WOERTH,http://www.woerth-en-alsace.com,48.938618,7.747992
Musée Sundgauvien d'Altkirch,"1, Rue de l'Hôtel de Ville",68130,ALTKIRCH,,47.623494,7.23739
Musée Gallo-Romain,Place de la Mairie,68600,BIESHEIM,http://www.ville-biesheim.fr/museegr.html,48.041378,7.547923
Musée de la Porte de Thann,"1, Rue de Thann",68700,CERNAY,http://histoire-cernay.perso.sfr.fr ou www.musees-alsace.org,47.809504,7.174289
Musée d'Unterlinden,"1, rue Unterlinden",68000,COLMAR,http://www.musee-unterlinden.com,48.079733,7.354974
Musée Bartholdi,"30, Rue des Marchands",68000,COLMAR,http://www.musee-bartholdi.com ou www.colmar.fr ou www.culture.fr,48.076747,7.357746
Musée d'Histoire Naturelle et d'Ethnographie de Colmar,"11, Rue Turenne",68000,COLMAR,http://www.museumcolmar.org,48.073594,7.35872
Musée Théodore Deck et des Pays du Florival,"1, Rue du Quatre Février",68500,GUEBWILLER,http://www.ville-guebwiller.fr/musee-deck/,47.905522,7.214504
Musée Historique et Militaire de Huningue,"6, rue des Boulangers",68330,HUNINGE,,47.591513,7.584985
Musée d'Histoire Local,"64, avenue du Général de Gaulle",68240,KAYSERSBERG,http://www.ville-kaysersberg.fr,48.139072,7.261441
Cité du Train,"2, rue Alfred de Glehn",68200,MULHOUSE,http://www.citedutrain.com,47.751091,7.293676
Musée Historique,"4, Rue des Archives",68100,MULHOUSE,http://www.musees-mulhouse.fr/musee-historique/collections.html,47.746535,7.339544
Musée du Sapeur Pompier,"Association des Amis du Musée

4, Boulevard de la Marseillaise",68100,MULHOUSE,http://musee.spmulhouse.free.fr,47.757665,7.335541
Musée des Beaux-Arts,"4, Place Guillaume-Tell",68100,MULHOUSE,http://www.musees-mulhouse.fr/musee-des-beaux-arts/collections.html,47.745774,7.338271
Musée de l'Impression sur Etoffes,"14, rue Jean-Jacques Henner

B.P. 1468",68072,MULHOUSE CEDEX,http://www.musee-impression.com,47.74415,7.343298
Musée National de l'Automobile - Collection Schlumpf,"192, Avenue de Colmar

CS 91096",68051,MULHOUSE Cedex,http://www.collection-schlumpf.com,47.760209,7.327993
Musée EDF Electropolis,"55, rue du Pâturage

B.P. 52463",68057,MULHOUSE Cedex,electropolis.edf.com,47.749347,7.295182
Musée Minéralogique de la Société Industrielle de Mulhouse,"3, Avenue Alfred-Werner",68093,MULHOUSE Cedex,,47.732773,7.312173
Musée Vauban,"7, Place de la Porte de Belfort",68600,NEUF-BRISACH,http://www.neuf-brisach.fr,48.016059,7.525831
Maison du Sundgau - Musée Paysan,"10, rue Principale",68480,OLTINGUE,http://musee.paysan.free.fr/,47.492827,7.391275
Musée du Dolder,"57, Rue du Général de Gaulle",68340,RIQUEWIHR,Site des musées d'Alsace,48.16694,7.297357
Musée du Papier Peint,"La Commanderie  28, rue Zuber

B.P. 41",68171,RIXHEIM Cedex,http://www.museepapierpeint.org,47.74438,7.397815
Musée des Amis de Thann,"24, Rue Saint Thiébaut",68800,THANN,http://www.ville-thann.fr - http://www.genealogiethaznn.org,47.812283,7.101737
Musée d'Anthropologie du Tabac d'Intérêt National,"Maison Peyrarède

Place du Feu",24100,BERGERAC,http://www.bergerac.fr/EspCulture/sitetabac/index.htm,44.849787,0.483514
Château de Bourdeilles,Bourdeilles,24310,BOURDEILLES,Site des musées aquitains,45.316682,0.565763
Musée Fernand Desmoulin,Boulevard Charlemagne,24310,BRANTOME,Site des musées aquitains ou http://www.perigord-dronne-belle.fr,45.364629,0.647342
Musée-Aquarium,Site Bella-Riva,24100,CREYSSE,,44.854577,0.564797
Musée Paul Reclus,Place de la Halle,24250,DOMME,,44.803002,1.214222
Musée Eugène Le Roy et des Vieux Métiers,Place Bertran de Borne,24290,MONTIGNAC,,45.063871,1.163492
Musée des Arts et Traditions Populaires du Périgord,"2, Rue Raoul Grassin",24400,MUSSIDAN,http://www.museevoulgre.cjb.net,45.037552,0.362147
Musée Départemental de la Poupée et du Jouet,Avenue du Général Leclerc,24300,NONTRON,Site des musées aquitains,45.527035,0.660711
Musée d'Art et d'Archéologie du Périgord (MAAP),"22, Cours Tourny",24000,PERIGUEUX,http://www.perigueux-maap.fr/,45.186039,0.72395
Musée Gallo-Romain de Vesunna,"Parc de Vésone

20, Rue du 26ème Régiment d'Infanterie",24000,PERIGUEUX,http://www.vesunna.fr ou http://www.perigueux-vesunna.fr/,45.179999,0.71269
Musée Militaire - Souvenir du Périgord,"32, Rue des Farges",24000,PERIGUEUX,http://www.museemilitaire-perigord.fr,45.183285,0.720943
Musée du Site Médiéval,,24440,SAINT-AVIT-SENIEUR,,44.756834,0.842382
Musée Municipal de Blasimon,Mairie de Blasimon,33540,BLASIMON,,44.747676,-0.092939
Musée d'Art et d'Histoire du Pays Blayais,Citadelle de Blaye,33390,BLAYE,Site des musées aquitains,45.126379,-0.663606
Centre National Jean Moulin,"Direction des établissements culturels

48, rue Vital Carles",33000,BORDEAUX,Site de la ville : www.bordeaux.fr,44.838651,-0.577869
CAPC Musée d'Art Contemporain de Bordeaux,"Entrepôt

7, Rue Ferrère",33000,BORDEAUX,http://www.capc-bordeaux.fr ou www.bordeaux.fr,44.848186,-0.572137
Musée d'Aquitaine,"20, Cours Pasteur",33000,BORDEAUX,http://www.musee-aquitaine-bordeaux.fr,44.835543,-0.575205
Musée des Beaux-Arts,"20, Cours D'Albret",33000,BORDEAUX,http://www.musba-bordeaux.fr,44.838056,-0.579413
Musée des Arts Décoratifs,"Hôtel de Lalande

39, Rue Bouffard",33000,BORDEAUX,Site de la ville -  www.mairie-bordeaux.fr,44.838956,-0.579686
Muséum d'Histoire Naturelle de Bordeaux,"5, Place Bardineau",33000,BORDEAUX,http://www.mairie-bordeaux.fr,44.848154,-0.580085
Musée Goupil,"Conservatoire de l'Image Industrielle

20 Cours Pasteur",33000,BORDEAUX,Site de la ville,44.835543,-0.575205
Musée de la Voiture à Cheval,"3, Place de la Citadelle",33710,BOURG-SUR-GIRONDE,Site des musées d'aquitaine,45.039708,-0.560791
Musée Municipal,Esplanade Charles de Gaulle,33190,LA REOLE,,44.581128,-0.041074
Musée des Beaux-Arts et d'Archéologie,"42, Place  Abel Surchamp",33500,LIBOURNE,http://www.musees-libourne.org,44.914487,-0.245068
Musée Historique ou du Vieux Libourne (Robin),,33500,LIBOURNE,,44.91759,-0.244124
Musée Historique de l'Hydravion,"332, Avenue Louis Breguet",40600,BISCARROSSE,http://www.hydravions-biscarrosse.com,44.388887,-1.182563
Musée de Borda,"Mairie de Dax Service du musée Borda

14, Rue Saint Pierre

B.P. 50344",40107,DAX Cédex,http://www.dax.fr/musee-de-borda - Site des musées aquitains,43.708837,-1.051437
Musée Départemental de Préhistoire,Abbaye d'Arthous,40300,HASTINGUES,http://www.culture-commune.fr - www.arthous.landes.org/,43.524706,-1.121479
Atelier-Musée  (Ecomusée de la Grande Landes),"101, Rue Jacques Desert",40043,LUXEY,Site du parc - www.parc-landes-de-gascogne.fr,44.263529,-0.518812
Musée Despiau-Wlérick,"6, Place Marguerite de Navarre",40000,MONT-DE-MARSAN,http://www.mont-de-marsan.org/decouvrir/decouv_muse.html ou Site des musées aquitains,43.892599,-0.498893
Musée de la Chalosse,"Domaine de Carcher

480, Chemin du Sala

B.P. 24",40380,MONTFORT-EN-CHALOSSE,http://www.museedelachalosse.fr,43.715749,-0.833916
Ecomusée de la Grande Lande,Route de Soférino,40630,SABRES,http://www.parc-landes-de-gascogne.fr,44.149054,-0.750737
Musée Municipal,Rue du Général Lamarque,40500,SAINT-SEVER,http://www.saint-sever.fr/culture_musee.htm,43.758576,-0.572238
Musée Départemental de la Faïence et des Arts de la table,"2378, Route d'Hagetmau",40320,SAMADET,http://www.museesamadet.landes.org,43.641006,-0.510832
Musée Municipal du Lac,"112, Place de la Mairie",40460,SANGUINET,http://www.ville-sanguinet.fr,44.483691,-1.075968
Musée des Beaux-Arts,Place du Dr Pierre Esquirol,47916,AGEN Cedex 9,http://www.agen.fr/musee,44.202967,0.615493
Musée Municipal Albert Marzelles,"15, Rue Abel Boyé",47200,MARMANDE,Site des musées aquitains et site de la ville,44.498918,0.166067
Musée du Liège et du Bouchon,Rue du Puits Saint Côme,47170,MEZIN,http://www.cg47.fr,44.056911,0.25639
Musée du Château Henri IV,Rue Henri IV,47600,NERAC,Site des musées aquitains ou www.nerac.fr,44.135138,0.33973
Musée de Préhistoire Mésolithique Laurent Coulonges,Le Bourg,47500,SAUVETERRE-LA-LEMANCE,http://www.sauveterre-prehistoire.fr ou www.tourisme-fumelois.fr,44.597508,1.016896
Musée Municipal (Moulin de Gajac),"2, Rue du Jardins",47300,VILLENEUVE-SUR-LOT,Site de la ville,44.405095,0.707815
Musée Municipal,Rue de l'Eglise,64260,ARUDY,http://www.museearudy.com ou www.ot-arudy.fr,43.105938,-0.42719
Musée Bonnat-Helleu - Musée des Beaux-Arts de Bayonne,"5, Rue Jacques-Laffitte",64100,BAYONNE,http://www.museebonnat.bayonne.fr,43.49213,-1.472317
Musée Basque et de l'Histoire de Bayonne,"37, Quai des Corsaires",64100,BAYONNE,http://www.musee-basque.com,43.491074,-1.473873
Muséum d'Histoire Naturelle,"Hôtel de ville

1, Avenue Maréchal Leclerc",64100,BAYONNE,http://www.museum.bayonne.fr,43.493388,-1.48047
Musée Municipal de Guéthary,"Parc municipal André Narbaits 

117, Avenue du Général de Gaulle",64210,GUETHARY,http://www.musee-de-guethary.fr/ OU Site des musées aquitains,43.421516,-1.607796
